name,interests
George Metcalfe,"Proof Theory, Universal Algebra, Non-Classical Logic, Algebraic Logic"
Konstantinos Chatzikokolakis,"security, privacy, quantitative information flow, formal verification"
Ulrich Berger,"Mathematical Logic, Constructive Mathematics, Theoretical Computer Science"
Karl Svozil,"theoretical physics, extraterrestrials, volume theory of money, history, philosophy"
Catuscia Palamidessi,"Differential privacy, machine learning, fairness, quantitative information flow, concurrency theory"
Jan Kyncl,
Nikita Gordienko,Computer science
Magda Friedjungov®¢,"Machine Learning, Data Preprocessing, Transfer Learning, Educational Data Mining, Data Visualizations"
Dariusz Dereniowski,"Algorithms, Distributed Computing, Graph Ranking, Graph Searching, Mobile Agents"
Rob van Glabbeek,"Concurrency, concurrency theory, process algebra, formal methods, temporal logic"
Bas Luttik,"Theoretical Computer Science, Concurrency Theory, Automata Theory"
Christoph Molnar,"interpretable machine learning, auditing AI"
Benjamin Werner,"Somatic Evolution, ecDNA, Evolutionary Theory, Mathematical Biology, Computational Biology"
Adam K. Kochanski,fail
Olivier Finkel,fail
Grigore Rosu,"Formal Methods, Programming Languages, Software Engineering, Runtime Verification"
Nikos Tzevelekos,"Semantics of Programming Languages, Theory of Computation, Automata over Infinite Alphabets"
Neil Immerman,"logic in computer science, descriptive complexity"
Prahladh Harsha,"Theoretical computer science, computational complexity, coding theory, information theory"
Dirk Pattinson,"Computer Science, Logic, Artificial Intelligence"
John Fearnley,
Balder ten Cate,"Computer Science, Logic, Databases, Machine Learning"
Luca de Alfaro,"Data Science, Game Theory, System Verification"
axel legay,formal design
Ugo Montanari,fail
Benedetto Intrigila,fail
Wilmer Ricciotti,"Theoretical Computer Science, Type Theory, Interactive Theorem Proving"
Peter LeFanu Lumsdaine,"Logic, category theory, formalisation of mathematics"
Stefano Berardi,fail
Kousha Etessami,"algorithms and complexity, algorithmic game theory, analysis of probabilistic systems, automated verification, logic"
Seiichiro Tani,"theoretical computer science, quantum computing"
Rupak Majumdar,"verification, model checking, automated reasoning"
Paolo Baldan,"formal methods, concurrency theory"
Mohamed Faouzi Atig,Computer Science
Jeroen Zuiddam,"algebraic complexity theory, combinatorics, quantum information theory, representation theory, algebraic geometry"
Aniello Murano,"Computer Science, Artificial Intelligence, Multi-Agent Systems, Strategic Reasoning, Formal Methods"
Thomas Schwentick,Theoretical Computer Science
Philippe Gaucher,materiaux
Luca Q. Zamboni,fail
Xin-She Yang (DPhil),"swarm intelligence, optimization, metaheuristics, computational intelligence."
Shigeru Yamashita,Computer Science
Wojciech Moczydlowski,fail
Luca Aceto,"Concurrency theory, runtime verification, structural operational semantics, logic in computer science"
Thibaut Horel,"optimization, machine learning, game theory, theory of computation"
Zvonko Iljazovi?,"computability theory, topology"
Lyneth Beltran,fail
Yi-Kai Liu,"Quantum computation, cryptography, machine learning"
Massimiliano Sassoli de Bianchi,"Physics, Consciousness studies"
Pawel Sobocinski,"Concurrency Theory, Category Theory, Programming Languages, Semantics, Verification"
Glynn Winskel,
Samuel Stanton,"Nonlinear dynamics, structural dynamics, flight dynamics and control"
Anna Sokolova,"hard- soft- condensed matter physics, small angle scattering"
Stephen Franks,Reproductive endocrinology
Max A. Alekseyev,"Bioinformatics, Comparative Genomics, Graph Theory, Combinatorics, Number Theory"
Antoine Meyer.,"inflammatory bowel disease, big data"
Makoto Hamana,"Programming Language Theory, Term Rewriting, Category Theory"
Christof L?ding,
Yves Guiraud,fail
Willem Conradie,"Modal Logic, Logic, Logic Symbolic and mathematical"
Brijesh Dongol,"Verification, Formal methods, Concurrency"
Dariusz Biernacki,"Programming Languages, Logic in Computer Science"
Sikiru Adewale,"machine learning, artificial intelligence, data analytics"
Prakash Panangaden,"Semantics, probabilistic systems, verification, machine learning, quantum information theory"
Abayomi O. Ige,"Endocrinology, Metabolism, Gastroenterology, Diabetes research"
Giorgio Bacci,"Probabilistic Systems, Quantitative Semantics, Coalgebra, Category Theory, Formal Methods"
Jean Cardinal,"Algorithms, Computational geometry"
Valerio Schiavoni,"Computer Science, Distributed Systems, TEE, data management, Middleware"
Noam Zeilberger,"Theoretical Computer Science, Programming Languages, Logic, Algebra, Combinatorics"
Niels van der Weide,Homotopy Type Theory
Robin Piedeleu,"theoretical computer science, category theory, logic"
Lijun Zhang,"probabilistic theory, model checking, trustworthy AI"
Flemming Nielson,"Static Analysis, Model Checking, Security, Formal Methods"
Jerome Leroux,"Formal Methods, Logique, Counter Systems"
Warut Suksompong,"Algorithmic Game Theory, Mechanism Design, Computational Social Choice"
Pierre Vandenhove,"game theory, theoretical computer science, automata theory"
Dana Fisman,"Formal Verification, Automata, Games, Logic, Grammatical Inference"
Thorsten Wi?mann,"Automata Theory, Partition Refinement Algorithms, Nominal Techniques, Category Theory"
Amir M. Ben-Amram,fail
Maurizio Murgia,"Corporate Finance, Private Equity and Venture Capital, Financial Technology, Merger in Digital sectors"
Uli Fahrenberg,
Georg Struth,"Algebraic and Logical Methods in Computer Science, Concurrency Theory, Interactive Theorem Proving, Program Correctness"
Denis Kuperberg,
Sabah Al-Fedaghi,"Databases, Software engineering, conceptual modeling, Information privacy, Information ethics"
Laurent Doyen,"Theoretical Computer Science, Logic, Games, Automata"
Octavio Malherbe,"logica, categorias, algebra"
Tomoyuki Yamakami,fail
Professor Michael S. Hofman,"theranostics, positron emission tomography, radionuclide therapy, cancer imaging"
Erich Gr?del,"Mathematical Logic, Logic and Algorithms, Algorithmic Model Theory, Theory of Infinite Games, Descriptive Complexity"
Andrej Bauer,"Mathematics, computer science"
Wei-Lung Tseng,"Molecular beacon, nanomaterial-based sensor"
Karoliina Lehtinen,"Logic, Automata, Games"
Alessandro De Luca,"robotics, control"
Pierre-Alain Reynier,"Formal verification, Logic and automata theory"
Diego Latella,Formal Methods in Computer Science - Formal Semantics - Logics
Mieke Massink,Formal Methods
Martti Karvonen,"Category theory, Quantum computing, Quantum Foundations, Theoretical Computer Science"
Benjamin Monmege,"Formal languages, Automata, Quantitative specifications, Verification, Game Theory"
Slawomir Lasota,"automata theory, concurrency theory, program verification"
Didem G?z®πpek,"Structural and algorithmic graph theory, approximation algorithms, optimization problems in communication networks"
Borzoo Bonakdarpour,"Formal methods, Security/privacy, cyber-physical systems, Distributed computing"
Jan Broekaert,"AI/ML, decision making, cognition, mathematical modelling"
Damjan Vukcevic,"statistics, data science, Bayesian inference, election auditing, statistical genomics"
Dr. Samir Kumar Borgohain,"NLP, Artificial Immune System, Machine Learning, CyberSecurity"
youssouf oualhadj,th®¶orie des jeux
Philipp Hieronymi,"Mathematical Logic, Theoretical Computer Science"
Tim A. C. Willemse,fail
Mirko Viroli,"Programming Languages, Software Engineering, Autonomous Systems, Self-Organisation, AI-assisted soft"
Fredrik Nordvall Forsberg,"Type Theory, Compositionality, Logic and Verification"
Tatsuji Kawai,"logic in computer science, constructive mathematics"
Anuj Dawar,"Logic, Complexity Theory, Finite Model Theory, Descriptive Complexity"
Edita Pelantova,
Cyril Banderier,"Combinatorics, analysis of algorithms, probability theory, number theory, computer algebra"
Didier Lime,"Computer Science, Formal Methods, Real-time Systems, Petri Nets"
Mahesh Viswanathan,"formal verification, automata theory, concurrency theory, logic"
Jan Willem Klop,"mathematics, logic, computer science"
Kate?ina Medkov®¢,fail
Michael Shulman,"category theory, type theory"
Krzysztof Wo?k,"Machine Learning, AI, NLP, Multimedia"
August C. Thio-ac,"Information Technology, Electronics Engineering"
Michael Blondin,"automata theory, algorithmic verification, logic in computer science, theoretical computer science"
Jessica S. Velasco,"deep learning, artificial intelligence"
Wim W?tjen,Biofunctionality of Secondary Plant Compounds
Jonathan Grattage,fail
Igor Carboni Oliveira,"Computational Complexity, Combinatorics, Algorithms, Mathematical Logic"
Colin Defant,"Combinatorics, number theory"
Udi Boker,"Formal Verification, Logic, Computability, Computational Models"
Elham Kashefi,"quantum cloud, quantum verification, quantum cryptography"
Michael Kommenda,"Data Mining, Machine Learning, Symbolic Regression"
Howard Straubing,
Iztok Peterin,"graph theory, graph products, graph invariants, metric graph theory"
Martin Krallinger,"Biomedicine, NLP, text mining, language models, AI"
Antonio Bucciarelli,fail
Georgios Paliouras,"Artificial Intelligence, Machine Learning, Data Mining, Knowledge Discovery, Information Retrieval"
Andrew Polonsky,"3D Tomography, Materials Science, Image Classification, Automation, Additive Manufacturing"
Peter Selinger,"Semantics of programming languages, quantum computation, category theory"
Furio Honsell,fail
Micha? Skrzypczak,"automata theory, descriptive set theory, logic"
James Vickery,"Financial Intermediation, Real Estate Finance, Mortgage Markets, Household Finance"
Eric Goubault,"Program semantics, Systems Modeling, CPS, Concurrency theory and Fault-Tolerant Distributed Systems, Applied and Computation"
Berit Gru?ien,fail
Karel Klouda,"Mathematics, Computer science, Statistics"
Makoto Tatsuta,fail
Ugo de'Liguoro,"computer science, formal methods, lambda calculus"
Mariangiola Dezani-Ciancaglini,Theoretical Computer Science
Paula Severi,"Types and Programming Languages, Description Logic and Foundations of Semantic Web"
Sergey Goncharov,"Logic in Computer Science, Semantics, Programming"
simone tini,Formal methods
Olivier Gauwin,fail
Gabriele Puppis,"Languages & automata theory, Logics, Algebras, Database theory"
Flavien Breuvart,fail
Bernd Finkbeiner,"Reactive Systems, Verification, Synthesis, Temporal Logic"
Cynthia Kop,"term rewriting, intuitionistic mathematics, program verification, implicit complexity"
Karin Quaas,fail
Stefan Kiefer,"software verification, probabilistic models, quantitative analysis, automata, program analysis"
Patrick Gallinari,"Machine Learning, Deep Learning, Physics-aware Deep Learning, Natural Language Processing"
lester beltran,Computer Science
Andris Ambainis,"quantum algorithms, quantum computing, quantum information, computational complexity, theoretical computer science"
Leonid B. Sokolinsky,"Parallel Processing, Supercomputing, Deep Learning"
Prof David F Callen,cancer research
Chris McCool,"Computer Vision, Fine-Grained Classification, Agricultural Robotics, Pattern Recognition, Biometrics"
Muhammad Marwan Muhammad Fuad,
Danny Lange,
Haofu Liao,"Medical Image Computing, Medical Image Analysis, Document Analysis, Computer Vision"
Marek Szyku?a,
Sylvain Gravier,fail
"Jiebo Luo, Fellow of ACM/AAAI/IEEE/NAI/AIMBE/IAPR/SPIE","AI, multimedia, computational social science, computational medicine, big data analytics"
Dimitri EL MURR,Ancient philosophy
Todd J. Green,Databases
Arnaldo Cesco,fail
Roberto Gorrieri,
Christoph Koutschan,"Computer Algebra, Combinatorics, Special Functions"
Beniamino Accattoli,"Theoretical Computer Science, Logic, Programming Languages"
Mikael Brudfors,"Medical image analysis, Machine learning, Deep learning"
Tobias Nipkow,"Formal Verification, Interactive Theorem Proving, Logic in Computer Science, Semantics"
Sudarshan Nandy,"Artificial Intelligence, Neural Network, Pattern Recognition, Cloud Computing, Machine Learning in"
Nadia Polikarpova,"Programming Languages, Formal Methods"
Partha Sarkar,"Ceramics, Electrophoretic Deposition, Solid Oxide Fuel Cells"
Achintya Das,"Control Systems, Biomedical Engineering"
Bruno Grenet,"Algebraic Complexity, Symbolic Computation, Computer Algebra"
Pascal Koiran,Theoretical Computer Science
Natacha Portier,fail
Ronald Hochreiter,"Operations Research, Management Science, Data Science, Artificial Intelligence"
Andre Diatta,
Peter Giblin,fail
Juan Carlos Sierra,"Human Sexuality, Psychological Assessment"
?ukasz Kaiser,Machine Learning & Logic in Computer Science
Dimitri Marinelli,"Networks and Graphs, Data Science, Finance, Machine Learning"
John Ashburner,"Neuroimaging, Medical Image Computing, Medical Image Analysis, Computational Anatomy"
Graciela Nasini,fail
Daniel Severin,"Neurobiology, Synaptic Plasticity"
Daniel Karapetyan,"AI, Data Science, Optimisation"
Irit Dinur,fail
Paola Bruscoli,"Proof Theory, Deep Inference, Logic in Computer Science, Proof Complexity, Coordination"
Yuval Filmus,"Theoretical Computer Science, Combinatorics"
Thomas E. Gundersen,"Analytical Chemistry, Dried blood spots (DBS), Lipidomics, Biomarkers Discovery, Pharma services"
Sergey Kitaev,"Combinatorics, Graph Theory"
Josef Cibulka,
Viola M®¶sz®¢ros,fail
Rudolf Stola?,fail
Pavel Valtr,fail
Fabien De Montgolfier,fail
Mike Jones,Acoustics Theory
Adam Koprowski,"Theorem Proving, Software Verification"
Krzysztof Zaremba,
Yann Strozecki,"Complexity, Algorithmic, Enumeration"
Jarkko Kari,"Cellular automata, computation theory, automata theory, tilings"
David Eppstein,"algorithms, data structures, graph theory, geometry"
Frederik Lerbjerg Aagaard,fail
Luca Magri,"Scientific Machine Learning, Data assimilation, Optimization, Chaos, Multi-physics fluids"
Soham Sundar Chakraborty,"Compiler, Memory Consistency Model, Programming Language, Software Engineering"
Arthur-Jozsef Molnar,fail
Jan Goedgebeur,"Graph Theory, Algorithms, Combinatorial Optimisation"
Holger R. Roth,"Medical image processing - Computer-aided Detection, CT Colonography - Registration"
Jens Heidrich,"Software Measurement, Quality Models, Software Development Processes, Software Effort Estimation"
Shubhabrata Mukherjee,"Statistics, Alzheimer's disease, Genetics, Psychometrics"
Laura Kovacs,"automated reasoning, program analysis, theorem proving, symbolic computation"
Anne Broadbent,
Dr. Pushpak Bhattacharyya,"Natural Language Processing, Machine Learning, Machine Translation, Cross Lingual IR, Word Sense Disambiguation"
Zsuzsanna Lipt®¢k,"algorithmic bioinformatics, string algorithms"
Luigi Santocanale,
Andrei Voronkov,"Automated Reasoning, Web Services"
Natsuki Urabe,fail
mehdi mhalla,"Quantum computing, Computer science, combinatorics"
Vincent Limouzy,"graph theory, graph algorithms"
Robert G. Littlejohn,fail
Roderick Bloem,"Formal Methods, Reactive Synthesis, Model Checking, Formal Verification, Information Security"
Nicole Schweikardt,"Logic in Computer Science, Database Theory, Complexity Theory"
Bart?omiej P?aczek,"sensor networks, intelligent transport systems, computer vision"
Nicol®∞ Navarin,"machine learning, kernel methods, learning on structured data, neural networks, online learning"
Chuangjie Xu,"static analysis, type theory, mathematical logic"
Alessandro Sperduti,
Petros Wallden,"Quantum Physics, Quantum Cryptography, Quantum Information & Computation, Quantum Technologies, Foundations"
"Leo Tom Varghese, PhD","Silicon Photonics, Nanofabrication"
Tomoyuki Morimae,"Quantum computing, Quantum cryptography"
David B. Wilson,"cellulases, protein engineering"
Daniel Lund®¶n,"Compilers, Static Program Analysis, Programming Language Theory"
Shujun Li (¿Ó ˜æ˚),"Cyber Security and Privacy, Socio-Technical Aspects, AI and Multimedia, Cyber Crime and Online Harms"
Guanrong Chen,"complex networks, nonlinear dynamics, control systems"
Volker Diekert,fail
Valmir C. Barbosa,Computer Science
Sebastian Nanz,Software Engineering
Marina Lenisa,fail
Micha? ?opuszy®Ωski,fail
Stephane Gaubert,"tropical algebra, control theory, dynamic programming, zero-sum games, population dynamics"
Daniel Va?ata,
Clement Fumex,fail
Marcel Ji?ina,
Chiara Boldrini,"Decentralised AI, Pervasive AI, Social Computing, Computational Social Science, Human-centric AI"
Andrea Passarella,"Online Social Networks, BigData analytics, Mobile Edge Computing, opportunistic networks, mobile networks"
Marco Conti,
Helge Spieker,"Artificial Intelligence, Machine Learning, Software Engineering"
Arnaud Gotlieb,"Validation Intelligence, Constraint Programming, Software Testing"
Omid Hosseini Jafari,"Computer Vision, Machine Learning"
Parth Nagarkar,
Flavio Ferrarotti,"finite model theory, descriptive complexity, formal models, database theory, behavioural theory of algorithms"
Klaus-Dieter Schewe,"formal methods and semantics, logic in CS, database theory, conceptual modelling, systems engineering"
Loredana Tec,
Wojciech Samek,"Deep Learning, Interpretability, Explainable AI, Trustworthy AI, Federated Learning"
Alexander Russell,Theory of Computing
Qing K. Wang,"Genetics, Cardiovascular Medicine, Neuroscience"
Alexandru Cojocaru,"poverty, inequality, subjective well-being, social policy"
L®¶o Colisson,"Quantum cryptography, Blind delegated quantum computing, Learning With Errors"
Andreas Beham,"Metaheuristics, Heuristic Optimization, Operations Research, Simulation"
Bogdan Burlacu,"Computer Science, Machine Learning, Artificial Intelligence"
David Broman,"Programming languages, Probabilistic Machine Learning, Cyber-Physical Systems"
M®¢rio S. Alvim,"Foundations of Security and Privacy, Quantitative Information Flow, Formal Methods, Responsible Computing"
Barak Nehoran,
Dinh Doan Van Bien,
Petra Hozzov®¢,
Giuseppe Angora,fail
Swen Jacobs,"Formal Methods, Verification, Synthesis, Automated Reasoning"
Massimo Salvetti,Medicina Interna. Ipertensione arteriosa. Malattie cardiovascolari. Medicina d'urgenza.
Cosmin Badea,"Artificial Intelligence, Ethics, Logic, Decision Theory, Philosophy of Language"
